标号,标题,首次记录时间,当时热度,当时排名,字段1_link
49,患者与医护让人泪目的拉钩,2020年02月14日14时06分,246160,46,http://47.94.93.86/info/患者与医护让人泪目的拉钩
50,患者出院后应与家人分餐饮食,2020年02月19日20时24分,280498,47,http://47.94.93.86/info/患者出院后应与家人分餐饮食
1,患者出院返岗需要什么证明,2020年02月28日14时56分,227063,42,http://47.94.93.86/info/患者出院返岗需要什么证明
2,患者唾液中检测出病毒核酸,2020年02月28日20时10分,226948,46,http://47.94.93.86/info/患者唾液中检测出病毒核酸
3,患者康复后体内含抗体,2020年02月14日07时35分,105141,43,http://47.94.93.86/info/患者康复后体内含抗体
4,患者感染程度与机体免疫状态密切相关,2020年02月12日09时49分,127171,46,http://47.94.93.86/info/患者感染程度与机体免疫状态密切相关
5,患者演小品逗笑医务人员,2020年02月17日18时58分,197016,47,http://47.94.93.86/info/患者演小品逗笑医务人员
6,患者致55人被隔离出院被刑拘,2020年02月14日16时42分,200281,47,http://47.94.93.86/info/患者致55人被隔离出院被刑拘
7,患者镜头下的援鄂医疗队员,2020年03月06日10时58分,168913,47,http://47.94.93.86/info/患者镜头下的援鄂医疗队员
8,患者隐瞒病情失去最佳治疗机会去世,2020年02月09日09时29分,123053,45,http://47.94.93.86/info/患者隐瞒病情失去最佳治疗机会去世
9,患者黑暗中高喊武汉加油,2020年02月16日07时05分,38865,44,http://47.94.93.86/info/患者黑暗中高喊武汉加油
10,悲伤他追上我了,2020年03月10日19时01分,226119,47,http://47.94.93.86/info/悲伤他追上我了
11,情人节,2020年02月14日00时13分,379886,39,http://47.94.93.86/info/情人节
12,情人节云约会妆,2020年02月13日14时07分,1341282,6,http://47.94.93.86/info/情人节云约会妆
13,情人节云观影,2020年02月13日18时13分,1562216,6,http://47.94.93.86/info/情人节云观影
14,情人节内蒙古多地现幻日奇观,2020年02月14日22时00分,278917,46,http://47.94.93.86/info/情人节内蒙古多地现幻日奇观
15,情人节北京上千对新人登记结婚,2020年02月14日21时09分,216710,44,http://47.94.93.86/info/情人节北京上千对新人登记结婚
16,情人节大餐自己做,2020年02月14日08时17分,159033,40,http://47.94.93.86/info/情人节大餐自己做
17,情人节宅家怎么过,2020年02月14日15时03分,162693,49,http://47.94.93.86/info/情人节宅家怎么过
18,情人节文案,2020年02月14日00时12分,233777,45,http://47.94.93.86/info/情人节文案
19,情人节的朋友圈,2020年02月14日11时33分,297126,46,http://47.94.93.86/info/情人节的朋友圈
20,情人节超甜文案大赛,2020年02月13日17时47分,265776,44,http://47.94.93.86/info/情人节超甜文案大赛
21,情人节还在营业的CP,2020年02月14日21时59分,263260,48,http://47.94.93.86/info/情人节还在营业的CP
22,情人节这样过,2020年02月14日18时05分,2436290,3,http://47.94.93.86/info/情人节这样过
23,情人节送礼等级表,2020年02月12日20时11分,214380,46,http://47.94.93.86/info/情人节送礼等级表
24,情人节限定口红,2020年02月11日13时56分,253993,46,http://47.94.93.86/info/情人节限定口红
25,情人节隔空约会妆,2020年02月12日22时41分,285384,45,http://47.94.93.86/info/情人节隔空约会妆
26,情侣头像,2020年02月14日08时39分,158742,46,http://47.94.93.86/info/情侣头像
27,情深深雨濛濛王牌重聚,2020年02月28日18时08分,1103227,6,http://47.94.93.86/info/情深深雨濛濛王牌重聚
28,惊艳爸妈的一道菜,2020年02月18日21时43分,327253,47,http://47.94.93.86/info/惊艳爸妈的一道菜
29,惊蛰,2020年03月05日07时22分,71363,43,http://47.94.93.86/info/惊蛰
30,惊蛰吃什么,2020年03月05日19时31分,237470,47,http://47.94.93.86/info/惊蛰吃什么
31,惠普拒绝施乐350亿美元收购要约,2020年03月06日17时16分,216762,47,http://47.94.93.86/info/惠普拒绝施乐350亿美元收购要约
32,想上学的真实目的,2020年02月12日15时31分,296509,46,http://47.94.93.86/info/想上学的真实目的
33,想不到这个假期过成了这样,2020年02月15日19时42分,236207,46,http://47.94.93.86/info/想不到这个假期过成了这样
34,想哭的我戴上了猫的面具预告,2020年03月11日11时04分,206608,46,http://47.94.93.86/info/想哭的我戴上了猫的面具预告
35,想在春天见到你,2020年02月25日18时35分,1369778,6,http://47.94.93.86/info/想在春天见到你
36,想念到极致是什么感觉,2020年02月18日15时41分,162636,45,http://47.94.93.86/info/想念到极致是什么感觉
37,想看锦衣之下番外,2020年02月10日13时54分,374279,46,http://47.94.93.86/info/想看锦衣之下番外
38,想见你,2020年02月09日08时59分,119023,46,http://47.94.93.86/info/想见你
39,想见你 养成系,2020年02月17日08时44分,156735,46,http://47.94.93.86/info/想见你%20养成系
40,想见你 编剧,2020年02月16日20时41分,187632,46,http://47.94.93.86/info/想见你%20编剧
41,想见你 青少年认同,2020年02月17日20时53分,239086,49,http://47.94.93.86/info/想见你%20青少年认同
42,想见你主演重回拍摄地,2020年03月10日09时27分,206783,46,http://47.94.93.86/info/想见你主演重回拍摄地
43,想见你仿妆,2020年02月28日20时03分,221778,48,http://47.94.93.86/info/想见你仿妆
44,想见你加拍新结局,2020年02月15日18时40分,221143,45,http://47.94.93.86/info/想见你加拍新结局
45,想见你加更花絮,2020年02月20日18时02分,297847,48,http://47.94.93.86/info/想见你加更花絮
46,想见你发光的样子,2020年02月25日10时05分,3058552,3,http://47.94.93.86/info/想见你发光的样子
47,想见你团队声明,2020年02月11日18时16分,167817,47,http://47.94.93.86/info/想见你团队声明
48,想见你大结局,2020年02月16日22时57分,319771,42,http://47.94.93.86/info/想见你大结局
49,想见你彩蛋,2020年02月16日23时20分,401948,44,http://47.94.93.86/info/想见你彩蛋
50,想见你彩蛋有三个版本,2020年02月17日11时25分,125284,47,http://47.94.93.86/info/想见你彩蛋有三个版本
1,想见你最后彩蛋,2020年02月29日20时25分,227575,45,http://47.94.93.86/info/想见你最后彩蛋
2,想见你演职员表,2020年02月17日15时17分,201132,46,http://47.94.93.86/info/想见你演职员表
3,想见你片头,2020年02月16日10时28分,199863,45,http://47.94.93.86/info/想见你片头
4,想见你直播,2020年02月16日21时59分,281175,47,http://47.94.93.86/info/想见你直播
5,想见你穿搭,2020年03月08日14时04分,205356,46,http://47.94.93.86/info/想见你穿搭
6,想见你结局猜想,2020年02月14日14时39分,226506,47,http://47.94.93.86/info/想见你结局猜想
7,想见你翻唱大赛,2020年02月28日10时44分,2434499,6,http://47.94.93.86/info/想见你翻唱大赛
8,想见你致敬周杰伦,2020年02月18日15时32分,130942,47,http://47.94.93.86/info/想见你致敬周杰伦
9,想见你花絮,2020年02月23日07时36分,64141,43,http://47.94.93.86/info/想见你花絮
10,想见你解析,2020年02月09日19时41分,217996,48,http://47.94.93.86/info/想见你解析
11,想见你配乐,2020年02月20日18时16分,267582,46,http://47.94.93.86/info/想见你配乐
12,想见你预告,2020年02月09日23时45分,321643,44,http://47.94.93.86/info/想见你预告
13,想象和现实中复工的区别,2020年03月04日16时10分,237515,47,http://47.94.93.86/info/想象和现实中复工的区别
14,惹人心疼的美强惨角色,2020年03月09日16时17分,305548,44,http://47.94.93.86/info/惹人心疼的美强惨角色
15,意大利,2020年02月24日13时33分,291914,45,http://47.94.93.86/info/意大利
16,意大利1号病人轨迹,2020年02月26日08时54分,167572,47,http://47.94.93.86/info/意大利1号病人轨迹
17,意大利1号确诊患者影响50000人,2020年02月24日18时49分,243306,45,http://47.94.93.86/info/意大利1号确诊患者影响50000人
18,意大利24小时内新增250例新冠肺炎,2020年02月28日08时15分,150794,43,http://47.94.93.86/info/意大利24小时内新增250例新冠肺炎
19,意大利ICU内部画面,2020年03月11日09时37分,254786,42,http://47.94.93.86/info/意大利ICU内部画面
20,意大利伦巴第大区新冠肺炎确诊89例,2020年02月23日19时17分,270640,46,http://47.94.93.86/info/意大利伦巴第大区新冠肺炎确诊89例
21,意大利全境20大区均有确诊病例,2020年03月06日07时29分,89064,43,http://47.94.93.86/info/意大利全境20大区均有确诊病例
22,意大利关闭850家电影院,2020年02月25日15时44分,191241,47,http://47.94.93.86/info/意大利关闭850家电影院
23,意大利关闭电影院剧院博物馆,2020年03月08日14时50分,181882,47,http://47.94.93.86/info/意大利关闭电影院剧院博物馆
24,意大利决定关闭全国学校及大学,2020年03月04日21时24分,252182,45,http://47.94.93.86/info/意大利决定关闭全国学校及大学
25,意大利北部11个市镇封城隔离,2020年02月24日07时30分,81616,41,http://47.94.93.86/info/意大利北部11个市镇封城隔离
26,意大利医生呼吁买菜一次派一人,2020年03月10日10时42分,235462,44,http://47.94.93.86/info/意大利医生呼吁买菜一次派一人
27,意大利医院床单制口罩,2020年03月11日20时10分,247992,48,http://47.94.93.86/info/意大利医院床单制口罩
28,意大利卫生部官员感谢中方树立榜样,2020年03月11日12时12分,332797,45,http://47.94.93.86/info/意大利卫生部官员感谢中方树立榜样
29,意大利参照战时分诊原则分配ICU床位,2020年03月11日08时26分,183212,45,http://47.94.93.86/info/意大利参照战时分诊原则分配ICU床位
30,意大利又一大区主席感染新冠病毒,2020年03月08日20时12分,193650,47,http://47.94.93.86/info/意大利又一大区主席感染新冠病毒
31,意大利国家德比延期,2020年02月29日20时28分,248425,46,http://47.94.93.86/info/意大利国家德比延期
32,意大利外长感谢中国援助,2020年03月11日21时10分,187567,48,http://47.94.93.86/info/意大利外长感谢中国援助
33,意大利多所监狱因疫情发生暴动,2020年03月09日15时49分,224251,47,http://47.94.93.86/info/意大利多所监狱因疫情发生暴动
34,意大利大面积封城影响超千万人,2020年03月09日10时10分,237978,40,http://47.94.93.86/info/意大利大面积封城影响超千万人
35,意大利女主播播新冠新闻时疯狂咳嗽,2020年02月29日14时53分,266226,47,http://47.94.93.86/info/意大利女主播播新冠新闻时疯狂咳嗽
36,意大利媒体泄露封城令,2020年03月10日08时07分,138684,46,http://47.94.93.86/info/意大利媒体泄露封城令
37,意大利封闭全国,2020年03月10日07时15分,101325,34,http://47.94.93.86/info/意大利封闭全国
38,意大利居民拒戴口罩要自由,2020年03月01日17时39分,202851,46,http://47.94.93.86/info/意大利居民拒戴口罩要自由
39,意大利式疫情小喇叭开播,2020年03月10日18时50分,229524,46,http://47.94.93.86/info/意大利式疫情小喇叭开播
40,意大利扩大封城大批民众连夜逃离,2020年03月09日16时18分,304956,46,http://47.94.93.86/info/意大利扩大封城大批民众连夜逃离
41,意大利抗疫Vlog,2020年03月11日20时19分,274192,48,http://47.94.93.86/info/意大利抗疫Vlog
42,意大利政府将召回退休医生,2020年03月08日21时37分,235533,48,http://47.94.93.86/info/意大利政府将召回退休医生
43,意大利新冠肺炎已致7人死亡,2020年02月25日08时58分,216250,42,http://47.94.93.86/info/意大利新冠肺炎已致7人死亡
44,意大利新冠肺炎疫区,2020年02月23日22时46分,347787,47,http://47.94.93.86/info/意大利新冠肺炎疫区
45,意大利新冠肺炎累计死亡14例,2020年02月27日20时39分,232097,46,http://47.94.93.86/info/意大利新冠肺炎累计死亡14例
46,意大利新型肺炎确诊患者增至230例,2020年02月24日22时32分,217312,47,http://47.94.93.86/info/意大利新型肺炎确诊患者增至230例
47,意大利新增1247例新冠肺炎,2020年03月08日07时21分,47344,46,http://47.94.93.86/info/意大利新增1247例新冠肺炎
48,意大利新增1492例新冠肺炎,2020年03月09日07时24分,95523,42,http://47.94.93.86/info/意大利新增1492例新冠肺炎
49,意大利新增17例新冠肺炎病例,2020年02月22日08时14分,129049,45,http://47.94.93.86/info/意大利新增17例新冠肺炎病例
50,意大利新增1例死亡病例,2020年02月24日17时51分,244140,46,http://47.94.93.86/info/意大利新增1例死亡病例
1,意大利新增240例新冠肺炎,2020年03月01日07时24分,57531,42,http://47.94.93.86/info/意大利新增240例新冠肺炎
2,意大利新增49例死亡病例,2020年03月07日07时23分,41534,48,http://47.94.93.86/info/意大利新增49例死亡病例
3,意大利新增566例新冠肺炎,2020年03月02日07时18分,71042,46,http://47.94.93.86/info/意大利新增566例新冠肺炎
4,意大利新增97例死亡病例,2020年03月10日08时15分,172441,45,http://47.94.93.86/info/意大利新增97例死亡病例
5,意大利校园仅中国留学生戴口罩,2020年03月08日19时44分,221000,48,http://47.94.93.86/info/意大利校园仅中国留学生戴口罩
6,意大利橘子大战如期举行,2020年02月24日14时01分,233851,47,http://47.94.93.86/info/意大利橘子大战如期举行
7,意大利民主党领导人感染新冠病毒,2020年03月07日21时00分,253669,47,http://47.94.93.86/info/意大利民主党领导人感染新冠病毒
8,意大利民众排长队抢购食物,2020年02月25日17时58分,214456,47,http://47.94.93.86/info/意大利民众排长队抢购食物
9,意大利火神山医院,2020年02月29日10时15分,249556,45,http://47.94.93.86/info/意大利火神山医院
10,意大利皮亚琴察市长确诊,2020年03月05日21时55分,231376,44,http://47.94.93.86/info/意大利皮亚琴察市长确诊
11,意大利监狱暴动已有20人越狱,2020年03月10日11时45分,263346,47,http://47.94.93.86/info/意大利监狱暴动已有20人越狱
12,意大利确诊新冠肺炎上升至323例,2020年02月26日08时07分,126774,44,http://47.94.93.86/info/意大利确诊新冠肺炎上升至323例
13,意大利确诊病例升至3089例,2020年03月05日01时55分,76090,45,http://47.94.93.86/info/意大利确诊病例升至3089例
14,意大利确诊病例升至3858例,2020年03月06日03时16分,43583,44,http://47.94.93.86/info/意大利确诊病例升至3858例
15,意大利确诊病例死亡率升至全球最高,2020年03月09日09时16分,230194,47,http://47.94.93.86/info/意大利确诊病例死亡率升至全球最高
16,意大利米兰威尼斯封城,2020年03月08日17时35分,184064,46,http://47.94.93.86/info/意大利米兰威尼斯封城
